FID,SRC_AGENCY,LATITUDE,LONGITUDE,REP_DATE,SIZE_HA,CAUSE,PROTZONE,ECOZ_NAME
0,BC,59.963,-128.172,1953-05-26,8.0,H, ,Boreal Cordillera
1,BC,59.318,-132.172,1950-06-22,8.0,L, ,Boreal Cordillera
2,BC,59.876,-131.922,1950-06-04,12949.9,H, ,Boreal Cordillera
3,BC,59.76,-132.808,1951-07-15,241.1,H, ,Boreal Cordillera
4,BC,59.434,-126.172,1952-06-12,1.2,H, ,Boreal Cordillera
5,BC,59.963,-136.502,1951-08-01,194.2,H, ,Boreal Cordillera
6,BC,59.597,-126.728,1952-08-11,0.6,H, ,Boreal Cordillera
7,BC,57.463,-122.816,1950-06-14,2071.9,L, ,Taiga Plain
419836,PC-NA,61.5462,-126.3081,2018-05-26,6195.1,L,Modified Response,Taiga Plain
419837,PC-NA,61.5589,-126.2406,2006-07-20,8000.0,L,EXT,Taiga Plain
419838,PC-NA,61.3389,-125.488,2018-08-16,33.5,L,Modified Response,Taiga Plain
419839,PC-WB,60.5114,-115.3878,2005-07-03,1.0,L,EXT,Taiga Plain
419840,PC-WB,59.614,-113.3156,2018-06-24,115.9,L,Modified Response,Taiga Plain
419841,PC-WB,60.0381,-113.92,2018-07-10,3461.9,L,Modified Response,Taiga Plain
419842,PC-WB,59.5269,-113.6594,2007-06-02,10.0,L,EXT,Taiga Plain
420084,PC-WB,60.1306,-112.5919,2005-06-12,1200.0,L,Intensive,Boreal PLain
420085,PC-WB,59.8739,-112.1564,2005-06-29,0.1,L,Intensive,Boreal PLain
420086,PC-EI,59.5667,-112.8333,2004-09-13,0.1,H,Intensive,Boreal PLain
420087,PC-WB,59.3333,-113.6667,1951-06-25,60.7,L, ,Taiga Plain
420088,PC-WB,59.4761,-114.2419,2004-07-24,1730.0,L,EXT,Taiga Plain
420139,PC-WB,58.105,-112.83,2006-07-06,4.0,L,EXT,Boreal PLain
420140,PC-JA,56.0031,-118.0469,2006-05-11,20.0,H,EXT,Boreal PLain
420141,PC-PA,54.85,-106.0669,2006-08-29,0.1,H,Intensive,Boreal PLain
420142,PC-PA,54.0706,-106.0111,2007-08-05,0.5,L,Intensive,Boreal PLain
420143,PC-PA,54.07,-106.7519,2006-05-18,0.6,L,Intensive,Boreal PLain
420152,PC-JA,53.2075,-117.9786,2018-06-04,0.0001,H,Full Response,Montane Cordillera
420153,PC-JA,53.1044,-117.9947,2018-06-27,1.2,H,Full Response,Montane Cordillera
420154,PC-JA,52.85,-118.08,2018-07-13,0.0001,H,Full Response,Montane Cordillera
420155,PC-JA,52.8919,-118.0794,2018-07-25,0.0001,H,Full Response,Montane Cordillera
420156,PC-JA,52.5877,-117.7659,2018-08-18,0.01,U,Full Response,Montane Cordillera
420157,PC-JA,53.1024,-118.1023,2007-03-01,61.0,H,EXT,Montane Cordillera
420190,PC-PA,53.633,-106.541,2018-05-04,5.0,H-PB,Prescribed Fire,Boreal PLain
420191,PC-PA,53.6,-106.5,2018-05-08,36400.0,H-PB,Full Response,Boreal PLain
420192,PC-PA,53.504,-106.018,2018-06-27,1.2,L,Full Response,Boreal PLain
420197,PC-GL,51.353719,-117.435331,,0.01,H,Full Response,Montane Cordillera
420198,PC-GL,51.208,-117.691,2018-07-13,0.1,H,Full Response,Montane Cordillera
420199,PC-GL,51.1067,-117.2675,2018-07-31,2324.0,L,Modified Response,Montane Cordillera
420200,PC-GL,51.2415,-117.6491,2018-08-06,0.01,H,Full Response,Montane Cordillera
420201,PC-GL,51.257,-117.538,2018-08-06,0.01,H,Full Response,Montane Cordillera
420202,PC-GL,51.2797,-117.5262,2018-08-10,0.1,L,Modified Response,Montane Cordillera
420207,PC-KO,50.6705,-116.786,2018-08-11,0.35,L,Full Response,Montane Cordillera
420208,PC-RE,51.0419,-118.0127,2018-07-18,4.33,L,Full Response,Montane Cordillera
420209,PC-RE,51.1481,-118.0058,2018-07-18,0.1,L,Modified Response,Montane Cordillera
420210,PC-RE,51.0578,-118.1236,2018-07-18,0.1,L,Full Response,Montane Cordillera
420211,PC-RE,51.0518,-117.9983,2018-07-27,340.0,L,Modified Response,Montane Cordillera
420226,PC-EI,53.6833,-112.8667,2006-05-11,0.2,H,Intensive,Prairie
420227,PC-EI,53.6667,-112.8667,2005-05-03,0.2,H,EXT,Prairie
420228,PC-EI,53.6,-112.8333,2004-04-30,2432.0,H,Intensive,Prairie
420229,PC-PA,53.075,-106.0694,2007-05-03,7.0,H,EXT,Boreal PLain
420230,PC-BT,52.6667,-106.0831,2006-04-20,0.5,U,Intensive,Boreal PLain
420231,PC-JA,52.663,-116.8747,2006-07-21,1600.0,L,Intensive,Montane Cordillera
420232,PC-BA,51.226,-115.825,2018-05-20,0.2,H,Full Response,Montane Cordillera
420233,PC-BA,51.275,-115.3816,2018-05-21,0.01,H,Full Response,Montane Cordillera
420277,PC-JA,52.0083,-117.5522,2018-07-17,0.0001,H,Full Response,Montane Cordillera
420278,PC-YO,51.4761,-116.4858,2018-09-02,0.001,H,Full Response,Montane Cordillera
420279,PC-RM,50.9889,-101.075,2005-05-20,7.0,L,EXT,Boreal PLain
420280,PC-BA,51.0316,-123.2737,2005-05-23,0.1,H,Intensive,Montane Cordillera
420281,PC-KO,50.9803,-116.1566,2018-07-27,445.0,L,Full Response,Montane Cordillera
420287,PC-YO,51.4161,-116.4736,2018-06-22,0.1,L,Full Response,Montane Cordillera
420288,PC-YO,51.4417,-116.4982,2018-07-19,0.2,L,Full Response,Montane Cordillera
420289,PC-YO,51.5187,-116.5131,2018-07-19,0.001,L,Full Response,Montane Cordillera
420290,PC-YO,51.5058,-116.5068,2018-07-19,0.001,L,Full Response,Montane Cordillera
420291,PC-YO,51.4077,-116.5085,2018-07-22,0.01,L,Full Response,Montane Cordillera
420292,PC-YO,51.4338,-116.5851,2018-08-02,0.01,L,Full Response,Montane Cordillera
420293,PC-YO,51.2458,-116.4092,2018-08-07,1.0,L,Full Response,Montane Cordillera
420294,PC-KO,50.854,-166.044,2018-07-31,0.3,L,Full Response,Montane Cordillera
420325,PC-RM,50.6533,-99.9697,2018-05-18,0.01,H,Full Response,Boreal PLain
420326,PC-RM,50.6554,-99.9668,2018-05-20,0.1,H,Full Response,Boreal PLain
420327,PC-RM,50.658,-99.9605,2018-07-15,0.01,H,Full Response,Boreal PLain
420328,PC-RM,50.7711,-100.5314,2007-04-24,600.0,H,EXT,Boreal PLain
420329,PC-RM,50.8844,-100.6308,2006-04-15,1500.0,H,EXT,Boreal PLain
420330,PC-RM,50.7106,-100.0575,2006-08-22,0.1,H,Intensive,Boreal PLain
420349,PC-RE,51.008977,-118.201287,2018-06-19,0.52,U,Full Response,Montane Cordillera
420350,PC-GF,49.75,-123.22,2006-08-15,0.1,H,Intensive,Pacific Maritime
420351,PC-GR,49.2667,-106.8667,2006-08-08,7.6,L,Intensive,Prairie
420352,PC-GR,49.3331,-106.6667,2005-09-07,1.0,H,Intensive,Prairie
420353,PC-GF,48.7543,-123.2411,2007-07-09,0.01,H,Intensive,Pacific Maritime
420360,PC-WL,49.1254,-113.8523,2006-03-10,1400.0,H,EXT,Montane Cordillera
420361,PC-WL,49.0522,-113.8961,2006-07-23,0.1,U,EXT,Montane Cordillera
420362,PC-WL,49.3792,-114.1299,2005-08-09,0.1,L,Intensive,Montane Cordillera
420363,PC-WL,49.1254,-113.8523,2005-09-21,0.1,H,EXT,Montane Cordillera
420364,PC-FR,48.4167,-123.4167,2007-07-06,0.35,H,Intensive,Pacific Maritime
420365,PC-FR,48.4167,-123.45,2005-08-11,0.1,H,Intensive,Pacific Maritime
420366,PC-PU,48.5597,-86.2324,2018-07-21,0.1,H,Full Response,Boreal Shield East
420367,PC-PU,48.5161,-86.1644,2005-08-10,0.1,L,Intensive,Boreal Shield East
420368,PC-PU,48.5414,-86.21219999999998,2005-08-10,0.3,L,Intensive,Boreal Shield East
420369,PC-PU,48.6258,-86.26309999999998,2005-07-08,0.1,H,Intensive,Boreal Shield East
420376,PC-GR,49.3628,-107.6782,2018-06-25,0.2,H,Modified Response,Prairie
420377,PC-GR,49.2348,-107.5665,2018-07-10,17.1,L,Full Response,Prairie
420378,PC-GR,49.1227,-106.672,2018-07-10,3.0,L,Full Response,Prairie
420379,PC-GR,49.1029,-106.5371,2018-07-18,0.01,U,Full Response,Prairie
420380,PC-GR,49.0004,-106.733,2018-08-05,4.5,L,Modified Response,Prairie
420381,PC-GR,49.0559,-106.6998,2018-08-13,330.0,L,Full Response,Prairie
420382,PC-GR,49.0299,-106.7977,2018-10-14,141.2,H-PB,Prescribed Fire,Prairie
420444,PC-PU,48.0869,-85.96469999999998,2005-08-25,0.5,L,EXT,Boreal Shield East
420445,PC-KG,47.0,-65.0,2007-04-23,1.0,U,Intensive,Atlantic Maritime
420446,PC-KG,47.0,-65.0,2007-04-26,1.0,U,Intensive,Atlantic Maritime
420447,PC-KG,47.0,-65.0,2006-04-13,1.0,U,Intensive,Atlantic Maritime
420448,PC-KG,47.0,-65.0,2006-04-27,1.0,U,Intensive,Atlantic Maritime
420449,PC-KG,47.0,-65.0,2005-04-17,2.0,H,Intensive,Atlantic Maritime
420450,PC-KG,47.0,-65.0,2005-04-20,1.0,H,Intensive,Atlantic Maritime
420451,PC-KG,47.0,-65.0,2005-04-20,1.0,H,Intensive,Atlantic Maritime
420452,PC-LM,46.7499,-72.82779999999998,2018-07-09,15.0,H-PB,Prescribed Fire,Boreal Shield East
420453,PC-LM,46.77,-72.84,2007-05-04,30.0,H,EXT,Boreal Shield East
420454,PC-LM,46.8333,-73.11109999999998,2007-05-13,3.0,H,EXT,Boreal Shield East
420458,PC-LM,46.7375,-73.0167,2005-05-09,10.0,H,EXT,Boreal Shield East
420459,PC-CB,46.6585,-60.4016,2007-05-11,2.0,H,Intensive,Atlantic Maritime
420460,PC-PE,46.4833,-63.3833,2007-02-01,0.02,H,Intensive,Atlantic Maritime
420461,PC-BP,45.2278,-81.5167,2006-08-21,0.1,H,Intensive,MixedWood Plain
420462,PC-TI,44.33,-76.09999999999998,2018-05-09,5.0,H-PB,Prescribed Fire,MixedWood Plain
420463,PC-SL,44.3553,-76.0676,2007-06-15,0.5,U,Intensive,MixedWood Plain
420464,PC-SL,44.2833,-77.83329999999998,2007-09-03,0.1,H,Intensive,MixedWood Plain
420465,PC-KE,44.0,-65.0,2006-01-19,0.01,H,EXT,Atlantic Maritime
420466,PC-PP,41.9531,-82.5219,2018-03-26,0.391,H-PB,Prescribed Fire,MixedWood Plain
420467,PC-PP,41.9675,-82.53449999999998,2018-12-25,0.0001,H,Full Response,MixedWood Plain
420468,PC-VU,68.106304,-139.490159,2019-07-31,30.0,L,Monitored Response,Taiga Cordillera
420469,PC-SY,66.0778,-121.7989,2012-08-21,150.0,L, ,Taiga Plain
420470,PC-SY,65.1233,-121.226,2011-07-01,4.0,L,Modified Response,Taiga Plain
420471,PC-SE,65.227,-120.823,2015-06-29,100.0,L,Modified Response,Taiga Plain
420472,PC-NA,61.9051,-126.91,2013-06-14,17.4,L,Modified Response,Taiga Cordillera
420473,PC-NA,61.9434,-126.6705,2015-05-25,17299.0,L,Modified Response,Taiga Cordillera
420474,PC-SY,62.2285,-120.8993,2014-06-19,100.0,L,Modified Response,Taiga Plain
420475,PC-NA,62.0492,-127.4853,,200.0,L,Modified Response,Taiga Cordillera
420476,PC-NA,62.0503,-127.5047,2009-01-08,1.0,L,Modified Response,Taiga Cordillera
420477,PC-NA,62.3993,-127.7244,2012-06-24,4036.0,L, ,Taiga Cordillera
20572,PC-WB,59.5292,-111.5292,2004-07-19,0.1,L,Intensive,Boreal PLain
420573,PC-LM,60.0,-112.0,2001-05-10,8.0,H,EXT,Boreal PLain
420574,PC-WB,59.7341,-111.8905,2001-07-04,1.2,L,Intensive,Boreal PLain
420575,PC-WB,59.7127,-111.9313,2001-07-05,0.6,L,Intensive,Boreal PLain
422200,PC-WP,57.2696,-93.6739,2017-07-18,242.0,L,Modified Response,Hudson Plain
422201,PC-KO,55.9444,-116.0,2002-08-02,0.1,L,Intensive,Boreal PLain
422202,PC-BA,54.1833,-124.3,2002-09-19,0.2,H,Intensive,Montane Cordillera
422203,PC-BA,55.0,-115.0,2012-05-30,2.0,H-PB, ,Boreal PLain
422204,PC-PA,54.3536,-106.1006,2003-05-11,0.5,H,Intensive,Boreal PLain
422205,PC-PA,54.3086,-106.3833,2003-06-14,0.5,L,Intensive,Boreal PLain
422206,PC-PA,53.8778,-106.216,2003-08-03,0.1,L,Intensive,Boreal PLain
422207,PC-PA,54.1944,-106.3486,2003-08-17,30.0,L,Intensive,Boreal PLain
22284,PC-JA,52.8934,-118.0793,2002-06-10,0.1,H,Intensive,Montane Cordillera
422285,PC-JA,52.8661,-118.0,2002-06-25,0.1,H,Intensive,Montane Cordillera
422286,PC-JA,52.8661,-118.1164,2002-07-09,0.1,H,Intensive,Montane Cordillera
422287,PC-JA,53.1667,-118.0,2002-07-22,1.0,L,Intensive,Montane Cordillera
422288,PC-JA,52.8717,-118.0,2002-08-01,0.01,H,Intensive,Montane Cordillera
422289,PC-JA,52.8803,-118.0947,2001-05-11,24.0,H,EXT,Montane Cordillera
422586,PC-EI,53.6411,-112.8403,2015-05-30,1.1,U,Full Response,Prairie
422587,PC-EI,53.6765,-112.8311,2016-05-01,0.01,H,Full Response,Prairie
422588,PC-EI,53.6764,-112.8256,2016-05-08,0.01,H,Full Response,Prairie
422589,PC-EI,53.6811,-112.8328,2019-05-13,0.08,H,Full Response,Prairie
422590,PC-JA,53.2528,-117.0,2003-08-09,0.25,L,Intensive,Boreal PLain
422591,PC-BA,52.5083,-116.0083,2001-05-27,0.001,H,Intensive,Boreal PLain
422592,PC-BT,52.6667,-106.0,2000-03-26,5.0,H,Intensive,Boreal PLain
422593,PC-BT,52.6667,-106.1333,2000-10-16,3.0,H,Intensive,Boreal PLain
422594,PC-BT,52.777203,-106.109367,,74.0,H,Modified Response,Boreal PLain
422595,PC-JA,53.1781,-117.0,2003-08-10,0.1,L,Intensive,Boreal PLain
423053,PC-GR,50.0,-100.0,2010-01-04,97.7,H-PB, ,Prairie
423054,PC-SL,50.0,-100.0,2010-04-04,5.0,U,Full Response,Prairie
423055,PC-WB,50.45,-112.3333,1946-09-02,3.0,H, ,Prairie
423056,PC-BA,50.0,-110.0,,1850.0,H-PB,Modified Response,Prairie
423057,PC-PR,49.1397,-125.6978,2017-09-03,0.1,H,Full Response,Pacific Maritime
423058,PC-TN,48.6538,-53.9079,2017-07-19,0.001,H,Full Response,Boreal Shield East
423059,PC-GR,49.3333,-107.0833,2004-07-23,1.0,H,Intensive,Prairie
423060,PC-GR,49.5,-107.1667,2004-07-31,1.0,H,Intensive,Prairie
423083,PC-GF,48.7647,-123.1322,2010-07-23,0.01,H,Full Response,Pacific Maritime
423084,PC-GF,48.7708,-123.1667,2010-05-06,0.01,H,Full Response,Pacific Maritime
423085,PC-GF,48.7528,-123.2417,2010-06-18,0.01,H,Full Response,Pacific Maritime
423086,PC-GF,48.7583,-123.2417,2010-10-16,0.01,H,Full Response,Pacific Maritime
423311,PC-GR,49.1857,-107.7587,2013-04-27,4664.0,H,Full Response,Prairie
423312,PC-GR,49.0499,-107.4506,2017-08-24,7.2,L,Full Response,Prairie
423313,PC-FO,48.9186,-64.3486,,0.8,H-PB, ,Atlantic Maritime
423314,PC-FO,48.881,-64.3476,2011-10-12,1.2,H-PB, ,Atlantic Maritime
423348,PC-PU,48.3708,-86.04999999999998,2001-08-09,0.5,L,Intensive,Boreal Shield East
423349,PC-PU,48.4583,-85.8139,2001-08-12,0.1,L,Intensive,Boreal Shield East
423350,PC-PU,48.3194,-85.69719999999998,2001-08-14,1.0,L,Intensive,Boreal Shield East
423351,PC-PU,48.65439,-86.29473,,0.2,U,Full Response,Boreal Shield East
423365,PC-TN,48.5333,-53.9833,2002-06-13,125.0,H,EXT,Boreal Shield East
423366,PC-TN,48.59,-54.11,1961-06-01,466.0,H,Intensive,Boreal Shield East
423367,PC-TN,48.51605,-53.83135,,15.0,H-PB, ,Boreal Shield East
423368,PC-TN,48.544,-53.969,2011-09-03,0.1,H,Full Response,Boreal Shield East
423369,PC-TN,48.5056,-53.8495,2014-09-18,4.36,H-PB,Prescribed Fire,Boreal Shield East
423391,PC-KG,47.0,-65.0,2000-08-05,0.4,H,Intensive,Atlantic Maritime
423392,PC-KG,46.926271,-64.914509,2015-05-14,0.2,H,Modified Response,Atlantic Maritime
423393,PC-KG,46.4956,-64.561,2019-05-08,0.1,U,Modified Response,Atlantic Maritime
423394,PC-LM,46.7344,-72.0431,2004-06-12,0.0006,H,Intensive,MixedWood Plain
